"strain_1","strain_2","strain_3","name","media","init_OD","temperature","replicate","row","col","well","pH","anomalous","time","OD600","OD730","RFP","GFP","column"
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,4,"D",12,"D12",7.2,"no",70800,0.549,0.454,29,1482,12
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,1,"E",1,"E1",7,"no",70800,1.032,0.831,33,2083,1
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,2,"E",2,"E2",7,"no",70800,1.068,0.879,35,2061,2
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,3,"E",3,"E3",7,"no",70800,1.044,0.858,35,2137,3
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,4,"E",4,"E4",7,"no",70800,1.069,0.881,34,2062,4
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,1,"E",5,"E5",7.5,"no",70800,0.171,0.156,9,454,5
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,2,"E",6,"E6",7.5,"no",70800,0.178,0.162,7,466,6
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,3,"E",7,"E7",7.5,"no",70800,0.179,0.163,6,464,7
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,4,"E",8,"E8",7.5,"no",70800,0.182,0.172,8,382,8
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,1,"E",9,"E9",7.2,"no",70800,1.079,0.89,62,2205,9
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,2,"E",10,"E10",7.2,"no",70800,1.031,0.851,27,2172,10
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,3,"E",11,"E11",7.2,"no",70800,1.067,0.879,21,2214,11
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,4,"E",12,"E12",7.2,"no",70800,1.113,0.931,23,2024,12
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,1,"F",1,"F1",7,"no",70800,1.155,0.94,37,1846,1
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,2,"F",2,"F2",7,"no",70800,1.013,0.812,43,1965,2
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,3,"F",3,"F3",7,"no",70800,1.004,0.801,41,1892,3
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,4,"F",4,"F4",7,"no",70800,1.029,0.826,39,1934,4
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,1,"F",5,"F5",7.5,"no",70800,0.187,0.167,7,368,5
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,2,"F",6,"F6",7.5,"no",70800,0.184,0.166,5,355,6
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,3,"F",7,"F7",7.5,"no",70800,0.192,0.177,9,367,7
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,4,"F",8,"F8",7.5,"no",70800,0.198,0.18,5,375,8
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,1,"F",9,"F9",7.2,"no",70800,0.976,0.777,35,2474,9
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,2,"F",10,"F10",7.2,"no",70800,1.004,0.805,40,2483,10
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,3,"F",11,"F11",7.2,"no",70800,1.038,0.825,32,2359,11
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,4,"F",12,"F12",7.2,"no",70800,1.072,0.858,31,2307,12
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,1,"G",1,"G1",7,"no",70800,1.183,1,35,2102,1
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,2,"G",2,"G2",7,"no",70800,1.173,0.995,31,2142,2
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,3,"G",3,"G3",7,"no",70800,1.064,0.901,37,2437,3
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,4,"G",4,"G4",7,"no",70800,1.128,0.939,27,2161,4
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,1,"G",5,"G5",7.5,"no",70800,0.208,0.185,6,440,5
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,2,"G",6,"G6",7.5,"no",70800,0.202,0.18,7,450,6
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,3,"G",7,"G7",7.5,"no",70800,0.191,0.176,7,391,7
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,4,"G",8,"G8",7.5,"no",70800,0.19,0.173,8,477,8
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,1,"G",9,"G9",7.2,"no",70800,1.051,0.877,23,1505,9
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,2,"G",10,"G10",7.2,"no",70800,1.138,0.959,25,1524,10
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,3,"G",11,"G11",7.2,"no",70800,1.027,0.856,13,1590,11
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,4,"G",12,"G12",7.2,"no",70800,1.121,0.941,20,1482,12
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,1,"H",1,"H1",7,"no",70800,1.03,0.834,36,2078,1
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,2,"H",2,"H2",7,"no",70800,1.023,0.845,33,2154,2
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,3,"H",3,"H3",7,"no",70800,1.03,0.853,34,2131,3
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,4,"H",4,"H4",7,"no",70800,1.007,0.814,38,2054,4
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,1,"H",5,"H5",7.5,"no",70800,0.177,0.161,2,475,5
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,2,"H",6,"H6",7.5,"no",70800,0.18,0.165,8,460,6
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,3,"H",7,"H7",7.5,"no",70800,0.185,0.168,5,536,7
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,4,"H",8,"H8",7.5,"no",70800,0.205,0.186,8,583,8
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,1,"H",9,"H9",7.2,"no",70800,1.101,0.905,24,2273,9
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,2,"H",10,"H10",7.2,"no",70800,1.334,1.132,23,2270,10
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,3,"H",11,"H11",7.2,"no",70800,1.095,0.901,22,2233,11
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,4,"H",12,"H12",7.2,"no",70800,1.108,0.913,25,2294,12
"blank","blank","blank","Negative","LB",0.001,30,1,"A",1,"A1",7,"no",72000,0.148,0.138,57,3267,1
"blank","blank","blank","Negative","LB",0.001,30,2,"A",2,"A2",7,"no",72000,0.141,0.132,54,3301,2
"blank","blank","blank","Negative","LB",0.001,30,3,"A",3,"A3",7,"no",72000,0.165,0.153,62,3279,3
"blank","blank","blank","Negative","LB",0.001,30,4,"A",4,"A4",7,"no",72000,0.139,0.13,53,3316,4
"blank","blank","blank","Negative","BG11",0.001,30,1,"A",5,"A5",7.5,"no",72000,0.144,0.138,9,243,5
"blank","blank","blank","Negative","BG11",0.001,30,2,"A",6,"A6",7.5,"no",72000,0.155,0.148,12,217,6
"blank","blank","blank","Negative","BG11",0.001,30,3,"A",7,"A7",7.5,"no",72000,0.157,0.151,10,231,7
"blank","blank","blank","Negative","BG11",0.001,30,4,"A",8,"A8",7.5,"no",72000,0.155,0.147,4,232,8
"blank","blank","blank","Negative","LB + BG11",0.001,30,1,"A",9,"A9",7.2,"no",72000,0.248,0.218,23,1677,9
"blank","blank","blank","Negative","LB + BG11",0.001,30,2,"A",10,"A10",7.2,"no",72000,0.264,0.23,28,1683,10
"blank","blank","blank","Negative","LB + BG11",0.001,30,3,"A",11,"A11",7.2,"no",72000,0.243,0.218,31,1704,11
"blank","blank","blank","Negative","LB + BG11",0.001,30,4,"A",12,"A12",7.2,"no",72000,0.294,0.252,27,1648,12
"S.oneidensis","blank","blank","So","LB",0.001,30,1,"B",1,"B1",7,"no",72000,1.002,0.805,36,1974,1
"S.oneidensis","blank","blank","So","LB",0.001,30,2,"B",2,"B2",7,"no",72000,1.055,0.84,37,1887,2
"S.oneidensis","blank","blank","So","LB",0.001,30,3,"B",3,"B3",7,"no",72000,0.972,0.764,38,1966,3
"S.oneidensis","blank","blank","So","LB",0.001,30,4,"B",4,"B4",7,"no",72000,1.002,0.806,40,1956,4
"S.oneidensis","blank","blank","So","BG11",0.001,30,1,"B",5,"B5",7.5,"no",72000,0.209,0.184,4,554,5
"S.oneidensis","blank","blank","So","BG11",0.001,30,2,"B",6,"B6",7.5,"no",72000,0.208,0.184,6,505,6
"S.oneidensis","blank","blank","So","BG11",0.001,30,3,"B",7,"B7",7.5,"no",72000,0.205,0.182,5,520,7
"S.oneidensis","blank","blank","So","BG11",0.001,30,4,"B",8,"B8",7.5,"no",72000,0.215,0.19,4,466,8
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,1,"B",9,"B9",7.2,"no",72000,0.966,0.765,40,2391,9
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,2,"B",10,"B10",7.2,"no",72000,0.957,0.756,38,2378,10
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,3,"B",11,"B11",7.2,"no",72000,1.01,0.801,35,2359,11
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,4,"B",12,"B12",7.2,"no",72000,1.012,0.802,40,2312,12
"P.pudita","blank","blank","Pp","LB",0.001,30,1,"C",1,"C1",7,"no",72000,1.214,1.027,31,2198,1
"P.pudita","blank","blank","Pp","LB",0.001,30,2,"C",2,"C2",7,"no",72000,1.212,1.024,40,2241,2
"P.pudita","blank","blank","Pp","LB",0.001,30,3,"C",3,"C3",7,"no",72000,1.132,0.934,37,2294,3
"P.pudita","blank","blank","Pp","LB",0.001,30,4,"C",4,"C4",7,"no",72000,1.17,0.985,36,2258,4
"P.pudita","blank","blank","Pp","BG11",0.001,30,1,"C",5,"C5",7.5,"no",72000,0.168,0.154,7,347,5
"P.pudita","blank","blank","Pp","BG11",0.001,30,2,"C",6,"C6",7.5,"no",72000,0.167,0.154,4,348,6
"P.pudita","blank","blank","Pp","BG11",0.001,30,3,"C",7,"C7",7.5,"no",72000,0.177,0.164,4,346,7
"P.pudita","blank","blank","Pp","BG11",0.001,30,4,"C",8,"C8",7.5,"no",72000,0.175,0.163,7,371,8
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,1,"C",9,"C9",7.2,"no",72000,1.008,0.829,22,1544,9
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,2,"C",10,"C10",7.2,"no",72000,0.985,0.812,17,1579,10
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,3,"C",11,"C11",7.2,"no",72000,0.993,0.819,19,1600,11
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,4,"C",12,"C12",7.2,"no",72000,1.044,0.865,18,1548,12
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,1,"D",1,"D1",7,"no",72000,0.353,0.292,54,2953,1
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,2,"D",2,"D2",7,"yes",72000,1.053,0.884,38,2164,2
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,3,"D",3,"D3",7,"no",72000,0.486,0.388,46,2639,3
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,4,"D",4,"D4",7,"no",72000,0.378,0.31,50,2866,4
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,1,"D",5,"D5",7.5,"no",72000,0.162,0.153,8,225,5
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,2,"D",6,"D6",7.5,"no",72000,0.147,0.139,9,230,6
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,3,"D",7,"D7",7.5,"no",72000,0.159,0.151,6,223,7
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,4,"D",8,"D8",7.5,"no",72000,0.151,0.145,10,222,8
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,1,"D",9,"D9",7.2,"no",72000,0.792,0.628,24,1393,9
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,2,"D",10,"D10",7.2,"no",72000,0.654,0.532,20,1445,10
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,3,"D",11,"D11",7.2,"no",72000,0.609,0.5,23,1441,11
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,4,"D",12,"D12",7.2,"no",72000,0.555,0.463,26,1491,12
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,1,"E",1,"E1",7,"no",72000,1.026,0.825,31,2086,1
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,2,"E",2,"E2",7,"no",72000,1.063,0.871,37,2075,2
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,3,"E",3,"E3",7,"no",72000,1.037,0.852,38,2090,3
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,4,"E",4,"E4",7,"no",72000,1.066,0.875,37,2050,4
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,1,"E",5,"E5",7.5,"no",72000,0.171,0.156,3,457,5
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,2,"E",6,"E6",7.5,"no",72000,0.178,0.162,8,446,6
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,3,"E",7,"E7",7.5,"no",72000,0.179,0.163,6,479,7
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,4,"E",8,"E8",7.5,"no",72000,0.183,0.172,7,372,8
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,1,"E",9,"E9",7.2,"no",72000,1.072,0.881,59,2189,9
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,2,"E",10,"E10",7.2,"no",72000,1.027,0.845,22,2196,10
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,3,"E",11,"E11",7.2,"no",72000,1.049,0.865,21,2196,11
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,4,"E",12,"E12",7.2,"no",72000,1.104,0.915,20,2057,12
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,1,"F",1,"F1",7,"no",72000,1.152,0.94,40,1842,1
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,2,"F",2,"F2",7,"no",72000,0.991,0.794,34,1973,2
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,3,"F",3,"F3",7,"no",72000,0.988,0.787,34,1891,3
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,4,"F",4,"F4",7,"no",72000,1.016,0.815,35,1916,4
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,1,"F",5,"F5",7.5,"no",72000,0.186,0.165,8,364,5
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,2,"F",6,"F6",7.5,"no",72000,0.185,0.168,6,363,6
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,3,"F",7,"F7",7.5,"no",72000,0.194,0.175,6,368,7
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,4,"F",8,"F8",7.5,"no",72000,0.197,0.18,6,380,8
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,1,"F",9,"F9",7.2,"no",72000,0.969,0.769,38,2471,9
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,2,"F",10,"F10",7.2,"no",72000,0.993,0.8,37,2466,10
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,3,"F",11,"F11",7.2,"no",72000,1.008,0.804,32,2345,11
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,4,"F",12,"F12",7.2,"no",72000,1.049,0.837,34,2332,12
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,1,"G",1,"G1",7,"no",72000,1.19,1.004,35,2136,1
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,2,"G",2,"G2",7,"no",72000,1.175,0.998,32,2141,2
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,3,"G",3,"G3",7,"no",72000,1.079,0.911,40,2396,3
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,4,"G",4,"G4",7,"no",72000,1.129,0.942,31,2157,4
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,1,"G",5,"G5",7.5,"no",72000,0.208,0.185,7,451,5
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,2,"G",6,"G6",7.5,"no",72000,0.202,0.181,7,448,6
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,3,"G",7,"G7",7.5,"no",72000,0.191,0.177,7,386,7
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,4,"G",8,"G8",7.5,"no",72000,0.191,0.173,9,460,8
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,1,"G",9,"G9",7.2,"no",72000,1.046,0.862,24,1549,9
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,2,"G",10,"G10",7.2,"no",72000,1.13,0.946,22,1533,10
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,3,"G",11,"G11",7.2,"no",72000,1.025,0.856,22,1552,11
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,4,"G",12,"G12",7.2,"no",72000,1.097,0.913,23,1477,12
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,1,"H",1,"H1",7,"no",72000,1.026,0.828,36,2073,1
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,2,"H",2,"H2",7,"no",72000,1.007,0.829,34,2162,2
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,3,"H",3,"H3",7,"no",72000,1.019,0.84,33,2107,3
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,4,"H",4,"H4",7,"no",72000,0.999,0.804,34,2060,4
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,1,"H",5,"H5",7.5,"no",72000,0.177,0.16,6,459,5
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,2,"H",6,"H6",7.5,"no",72000,0.18,0.165,6,461,6
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,3,"H",7,"H7",7.5,"no",72000,0.185,0.167,5,532,7
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,4,"H",8,"H8",7.5,"no",72000,0.205,0.185,13,581,8
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,1,"H",9,"H9",7.2,"no",72000,1.095,0.903,23,2231,9
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,2,"H",10,"H10",7.2,"no",72000,1.333,1.134,25,2261,10
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,3,"H",11,"H11",7.2,"no",72000,1.091,0.897,23,2244,11
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,4,"H",12,"H12",7.2,"no",72000,1.097,0.903,24,2243,12
"blank","blank","blank","Negative","LB",0.001,30,1,"A",1,"A1",7,"no",73200,0.147,0.138,53,3351,1
"blank","blank","blank","Negative","LB",0.001,30,2,"A",2,"A2",7,"no",73200,0.141,0.132,59,3292,2
"blank","blank","blank","Negative","LB",0.001,30,3,"A",3,"A3",7,"no",73200,0.163,0.154,66,3302,3
"blank","blank","blank","Negative","LB",0.001,30,4,"A",4,"A4",7,"no",73200,0.139,0.13,51,3374,4
"blank","blank","blank","Negative","BG11",0.001,30,1,"A",5,"A5",7.5,"no",73200,0.144,0.138,3,236,5
"blank","blank","blank","Negative","BG11",0.001,30,2,"A",6,"A6",7.5,"no",73200,0.157,0.148,3,232,6
"blank","blank","blank","Negative","BG11",0.001,30,3,"A",7,"A7",7.5,"no",73200,0.158,0.15,9,239,7
"blank","blank","blank","Negative","BG11",0.001,30,4,"A",8,"A8",7.5,"no",73200,0.154,0.148,3,232,8
"blank","blank","blank","Negative","LB + BG11",0.001,30,1,"A",9,"A9",7.2,"no",73200,0.248,0.218,24,1683,9
"blank","blank","blank","Negative","LB + BG11",0.001,30,2,"A",10,"A10",7.2,"no",73200,0.264,0.23,25,1691,10
"blank","blank","blank","Negative","LB + BG11",0.001,30,3,"A",11,"A11",7.2,"no",73200,0.243,0.217,27,1717,11
"blank","blank","blank","Negative","LB + BG11",0.001,30,4,"A",12,"A12",7.2,"no",73200,0.295,0.252,28,1681,12
"S.oneidensis","blank","blank","So","LB",0.001,30,1,"B",1,"B1",7,"no",73200,1.013,0.813,36,1956,1
"S.oneidensis","blank","blank","So","LB",0.001,30,2,"B",2,"B2",7,"no",73200,1.064,0.846,34,1881,2
"S.oneidensis","blank","blank","So","LB",0.001,30,3,"B",3,"B3",7,"no",73200,0.98,0.769,39,1919,3
"S.oneidensis","blank","blank","So","LB",0.001,30,4,"B",4,"B4",7,"no",73200,1.004,0.807,36,1940,4
"S.oneidensis","blank","blank","So","BG11",0.001,30,1,"B",5,"B5",7.5,"no",73200,0.209,0.184,9,558,5
"S.oneidensis","blank","blank","So","BG11",0.001,30,2,"B",6,"B6",7.5,"no",73200,0.208,0.184,8,513,6
"S.oneidensis","blank","blank","So","BG11",0.001,30,3,"B",7,"B7",7.5,"no",73200,0.204,0.181,10,517,7
"S.oneidensis","blank","blank","So","BG11",0.001,30,4,"B",8,"B8",7.5,"no",73200,0.222,0.196,4,469,8
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,1,"B",9,"B9",7.2,"no",73200,0.987,0.779,41,2390,9
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,2,"B",10,"B10",7.2,"no",73200,0.973,0.766,38,2377,10
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,3,"B",11,"B11",7.2,"no",73200,1.022,0.809,40,2363,11
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,4,"B",12,"B12",7.2,"no",73200,1.035,0.813,46,2343,12
"P.pudita","blank","blank","Pp","LB",0.001,30,1,"C",1,"C1",7,"no",73200,1.217,1.036,32,2178,1
"P.pudita","blank","blank","Pp","LB",0.001,30,2,"C",2,"C2",7,"no",73200,1.221,1.031,33,2239,2
"P.pudita","blank","blank","Pp","LB",0.001,30,3,"C",3,"C3",7,"no",73200,1.141,0.941,49,2260,3
"P.pudita","blank","blank","Pp","LB",0.001,30,4,"C",4,"C4",7,"no",73200,1.178,0.995,34,2246,4
"P.pudita","blank","blank","Pp","BG11",0.001,30,1,"C",5,"C5",7.5,"no",73200,0.168,0.154,8,372,5
"P.pudita","blank","blank","Pp","BG11",0.001,30,2,"C",6,"C6",7.5,"no",73200,0.167,0.155,3,356,6
"P.pudita","blank","blank","Pp","BG11",0.001,30,3,"C",7,"C7",7.5,"no",73200,0.177,0.164,8,348,7
"P.pudita","blank","blank","Pp","BG11",0.001,30,4,"C",8,"C8",7.5,"no",73200,0.175,0.163,7,365,8
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,1,"C",9,"C9",7.2,"no",73200,1.025,0.842,28,1578,9
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,2,"C",10,"C10",7.2,"no",73200,0.999,0.825,20,1561,10
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,3,"C",11,"C11",7.2,"no",73200,1.009,0.829,25,1639,11
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,4,"C",12,"C12",7.2,"no",73200,1.05,0.864,22,1559,12
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,1,"D",1,"D1",7,"no",73200,0.367,0.298,55,2943,1
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,2,"D",2,"D2",7,"yes",73200,1.062,0.893,34,2160,2
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,3,"D",3,"D3",7,"no",73200,0.492,0.391,51,2598,3
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,4,"D",4,"D4",7,"no",73200,0.382,0.312,48,2863,4
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,1,"D",5,"D5",7.5,"no",73200,0.162,0.152,5,236,5
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,2,"D",6,"D6",7.5,"no",73200,0.149,0.139,6,215,6
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,3,"D",7,"D7",7.5,"no",73200,0.16,0.152,5,224,7
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,4,"D",8,"D8",7.5,"no",73200,0.152,0.145,10,226,8
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,1,"D",9,"D9",7.2,"no",73200,0.78,0.619,24,1374,9
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,2,"D",10,"D10",7.2,"no",73200,0.668,0.537,27,1449,10
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,3,"D",11,"D11",7.2,"no",73200,0.617,0.506,27,1442,11
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,4,"D",12,"D12",7.2,"no",73200,0.563,0.464,31,1516,12
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,1,"E",1,"E1",7,"no",73200,1.028,0.827,37,2057,1
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,2,"E",2,"E2",7,"no",73200,1.062,0.871,39,2090,2
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,3,"E",3,"E3",7,"no",73200,1.036,0.852,35,2105,3
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,4,"E",4,"E4",7,"no",73200,1.064,0.874,30,2063,4
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,1,"E",5,"E5",7.5,"no",73200,0.172,0.156,6,465,5
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,2,"E",6,"E6",7.5,"no",73200,0.178,0.162,8,463,6
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,3,"E",7,"E7",7.5,"no",73200,0.179,0.163,3,468,7
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,4,"E",8,"E8",7.5,"no",73200,0.182,0.172,9,360,8
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,1,"E",9,"E9",7.2,"no",73200,1.065,0.878,62,2225,9
